TICKER,COMPANY,WEBSITE,INDUSTRY,SECTOR,PRICE,CURRENCY,CRITERIA PASSED,DIVIDEND SCORE,ANALYST RATING SCORE
IOX.OL,Interoil Exploration and Production ASA,https://www.interoil.no,Oil & Gas E&P,Energy,1.99,NOK,3,0.0,0
AURG.OL,Aurskog Sparebank,https://aurskog-sparebank.no,Banks—Regional,Financial Services,215.0,NOK,2,7.0457,10.0
DNB.OL,DNB Bank ASA,https://www.dnb.no,Banks—Regional,Financial Services,203.7,NOK,2,5.043,58.30000000000001
EIOF.OL,Eidesvik Offshore ASA,https://www.eidesvik.no,Oil & Gas Equipment & Services,Energy,16.28,NOK,2,4.0295,0
NAS.OL,Norwegian Air Shuttle ASA,https://www.norwegian.com,Airlines,Industrials,14.61,NOK,2,1.0,8.39
SKUE.OL,Skue Sparebank,https://skuesparebank.no,Banks—Regional,Financial Services,240.0,NOK,2,4.0524000000000004,34.0
SVEG.OL,Sparebanken Vest,https://www.spv.no,Banks—Regional,Financial Services,127.88,NOK,2,5.0451,13.120000000000005
TOTG.OL,Totens Sparebank,https://www.totenbanken.no,Banks—Regional,Financial Services,241.0,NOK,2,4.05,0
VVL.OL,Voss Veksel- og Landmandsbank ASA,https://vekselbanken.no,Banks—Regional,Financial Services,250.0,NOK,2,4.0432,40.0
AKSO.OL,Aker Solutions ASA,https://akersolutions.com,Oil & Gas Equipment & Services,Energy,44.46,NOK,1,4.0,20.54
CARA.OL,Carasent ASA,https://carasent.com,Health Information Services,Healthcare,18.7,NOK,1,4.0,7.800000000000001
GIG.OL,Gaming Innovation Group Inc.,https://www.gig.com,Gambling,Consumer Cyclical,32.1,NOK,1,0.0,25.03
IDEX.OL,IDEX Biometrics ASA,https://www.idexbiometrics.com,Software—Application,Technology,1.74,NOK,1,0.0,11.26
SOGN.OL,Sogn Sparebank,https://sognbank.no,Banks—Regional,Financial Services,186.02,NOK,1,5.0412,0
LSG.OL,Lerøy Seafood Group ASA,https://www.leroyseafood.com,Packaged Foods,Consumer Defensive,49.72,NOK,1,4.0375,14.280000000000001
MOWI.OL,Mowi ASA,https://www.mowi.com,Farm Products,Consumer Defensive,197.15,NOK,1,8.0326,90.33000000000001
NAVA.OL,Navamedic ASA,https://www.navamedic.com,Medical Distribution,Healthcare,33.1,NOK,1,0.0,14.899999999999999
