TICKER,DIVIDEND SCORE
TRGP,9.0531
XOM,9.0518
CVX,9.0442
CTRA,9.0411
IPG,9.0395
RF,9.0391
PFG,9.039
ETR,9.0374
PNC,9.0348
EMN,9.0329
BMY,9.0325
CNP,9.0322
GIS,9.0322
TROW,9.032
BKR,9.0313
STT,9.0309
SRE,9.0308
CSCO,9.0303
BK,9.0296
CVS,9.0286
GPC,9.0275
AEE,9.027
CMI,9.0265
LMT,9.0261
BLK,9.0251
SYY,9.0248
GRMN,9.0243
ATO,9.0239
GD,9.0235
QCOM,9.0235
ETN,9.023
HD,9.0229
ITW,9.0227
GS,9.0225
MCD,9.0224
TGT,9.0224
NEE,9.0221
KDP,9.0212
MDLZ,9.0212
RHI,9.0212
ADP,9.02
HON,9.0199
HSY,9.0196
DGX,9.0191
SWKS,9.0184
ROK,9.0178
YUM,9.0176
PPG,9.0172
WM,9.0167
AWK,9.0166
BR,9.0163
AVY,9.0162
LIN,9.0148
MCHP,9.0147
NDAQ,9.0145
TSCO,9.0137
AJG,9.0135
ACN,9.0134
MSI,9.0134
XYL,9.0117
JKHY,9.0111
ECL,9.0105
NKE,9.01
CI,9.0092
SPGI,9.0084
MKTX,9.0078
MPWR,9.007
EQT,9.0049
CARR,9.0
MO,8.0792
OKE,8.0704
SPG,8.0629
KMI,8.0622
WMB,8.0613
IRM,8.0608
PM,8.055
PRU,8.0501
VICI,8.0495
KIM,8.0491
PPL,8.0491
IBM,8.0484
VLO,8.0456
HST,8.0449
OXY,8.0449
ABBV,8.044
BEN,8.0432
PSX,8.0428
PNW,8.0424
EIX,8.0422
REG,8.0419
FRT,8.0413
DUK,8.0411
SO,8.0407
FE,8.0406
GM,8.0406
TPR,8.0406
PFE,8.0402
USB,8.0392
C,8.037
ED,8.0366
EVRG,8.0365
MPC,8.0361
EQR,8.0356
UDR,8.0347
AEP,8.0345
EXC,8.0344
MET,8.0344
HPE,8.0341
PEG,8.0341
CAG,8.0339
NI,8.0338
AVB,8.0336
KMB,8.0334
BBY,8.0333
FANG,8.0331
DTE,8.0329
ESS,8.0327
SLB,8.0326
WRK,8.0326
HPQ,8.0322
WFC,8.032
CPT,8.0314
MAA,8.0308
WY,8.0308
ES,8.0304
AES,8.0303
KO,8.0303
LNT,8.0302
CME,8.0302
WEC,8.0298
ARE,8.0297
AMGN,8.0297
AVGO,8.0295
INTC,8.0291
MRK,8.0289
CMS,8.0284
JPM,8.0283
XEL,8.0282
NRG,8.0281
DRI,8.0277
PEP,8.0274
PAYX,8.0272
SYF,8.0269
JNJ,8.0268
AIG,8.0267
TAP,8.0265
TXN,8.0264
ADM,8.0262
RTX,8.0261
TSN,8.0261
CINF,8.0252
MDT,8.0252
EMR,8.0251
SNA,8.025
PG,8.0243
CF,8.0242
BAC,8.0241
AFL,8.0237
ALL,8.0237
PLD,8.0237
CL,8.0235
HIG,8.0232
DD,8.0231
JCI,8.0231
TRV,8.0229
FAST,8.0228
EG,8.0227
HRL,8.0227
CMCSA,8.0226
EOG,8.0225
INVH,8.0223
HAL,8.0219
HII,8.0212
NUE,8.0212
STLD,8.0211
HUBB,8.0207
KR,8.0205
SBUX,8.0195
AMP,8.0193
AIZ,8.0191
LHX,8.0187
ADI,8.0181
AOS,8.0177
TEL,8.0175
LOW,8.0169
EQIX,8.0166
MKC,8.0164
MRO,8.0161
ABT,8.016
WMT,8.016
NOC,8.0157
EBAY,8.0155
PH,8.0155
TT,8.0155
PNR,8.0153
RSG,8.0152
MAS,8.0151
RJF,8.0148
PCAR,8.0147
STZ,8.0144
CBOE,8.0143
LDOS,8.0143
COR,8.0142
CTSH,8.0142
LLY,8.0142
GWW,8.0141
KLAC,8.0138
DIS,8.0138
WTW,8.0136
BDX,8.0135
DE,8.0134
TJX,8.0134
AXP,8.0131
CSX,8.0126
LRCX,8.0126
ALLE,8.0125
ICE,8.0124
LW,8.0123
ALB,8.012
CHD,8.0117
EXPD,8.0117
MOS,8.0117
ELV,8.0114
IEX,8.0111
PHM,8.0111
CDW,8.0108
XRAY,8.0106
SYK,8.0105
AMAT,8.0104
ROL,8.0104
DHI,8.0102
LEN,8.01
CTAS,8.0099
DPZ,8.0098
APH,8.0097
ROST,8.0095
MSFT,8.0094
